filename,lf_compression_method,cd_compression_method,method_mismatch,data_entropy_shannon,data_entropy_renyi,declared_vs_entropy_flag,eocd_count,lf_unknown_method,file_size_bytes,entry_count,suspicious_entry_count,suspicious_entry_ratio,entropy_variance,lf_crc_valid,any_crc_mismatch,is_encrypted
hard_negative_extra_field_noise_0000.zip,8,8,False,7.0039,6.8475,False,1,0,336,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0001.zip,8,8,False,7.1939,7.0257,False,1,0,400,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0008.zip,8,8,False,6.7425,6.6246,False,1,0,287,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0009.zip,8,8,False,7.1625,7.0031,False,1,0,391,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0010.zip,8,8,False,6.8927,6.7461,False,1,0,340,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0011.zip,8,8,False,7.1025,6.9015,False,1,0,373,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0014.zip,8,8,False,7.1608,6.9888,False,1,0,395,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0015.zip,8,8,False,7.0567,6.8918,False,1,0,388,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0019.zip,8,8,False,6.919,6.782,False,1,0,334,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0021.zip,8,8,False,7.095,6.9286,False,1,0,350,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0022.zip,8,8,False,6.5268,6.3907,False,1,0,285,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0023.zip,8,8,False,6.724,6.5991,False,1,0,289,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0025.zip,8,8,False,7.1779,7.0144,False,1,0,399,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0029.zip,8,8,False,7.0471,6.8732,False,1,0,364,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0032.zip,8,8,False,6.5789,6.445,False,1,0,273,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0039.zip,8,8,False,6.6923,6.5484,False,1,0,298,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0040.zip,8,8,False,7.1628,7.0122,False,1,0,393,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0042.zip,8,8,False,6.6927,6.5601,False,1,0,296,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0045.zip,8,8,False,6.6924,6.5609,False,1,0,284,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0046.zip,8,8,False,6.9496,6.7703,False,1,0,355,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0048.zip,8,8,False,7.1358,6.9745,False,1,0,380,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0052.zip,8,8,False,7.1751,7.0333,False,1,0,384,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0054.zip,8,8,False,6.7505,6.6267,False,1,0,301,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0056.zip,8,8,False,6.9623,6.8266,False,1,0,341,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0057.zip,8,8,False,6.9304,6.7757,False,1,0,323,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0058.zip,8,8,False,6.8006,6.6571,False,1,0,320,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0062.zip,8,8,False,7.169,7.0031,False,1,0,402,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0066.zip,8,8,False,7.1192,6.9771,False,1,0,379,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0067.zip,8,8,False,7.024,6.8644,False,1,0,373,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0068.zip,8,8,False,7.1353,6.9842,False,1,0,385,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0070.zip,8,8,False,7.1037,6.933,False,1,0,366,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0071.zip,8,8,False,6.5506,6.4067,False,1,0,282,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0074.zip,8,8,False,6.6893,6.5728,False,1,0,295,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0075.zip,8,8,False,7.1673,7.0024,False,1,0,391,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0079.zip,8,8,False,6.8861,6.7849,False,1,0,299,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0082.zip,8,8,False,6.6119,6.4756,False,1,0,283,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0085.zip,8,8,False,7.1172,6.9467,False,1,0,354,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0086.zip,8,8,False,7.0949,6.8387,False,1,0,389,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0088.zip,8,8,False,6.5209,6.4154,False,1,0,266,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0090.zip,8,8,False,6.5162,6.3737,False,1,0,285,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0091.zip,8,8,False,6.7184,6.5979,False,1,0,305,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0092.zip,8,8,False,7.0474,6.8634,False,1,0,366,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0093.zip,8,8,False,6.7852,6.5909,False,1,0,325,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0095.zip,8,8,False,6.8825,6.7454,False,1,0,327,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0096.zip,8,8,False,6.5035,6.3865,False,1,0,258,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0097.zip,8,8,False,6.8489,6.6809,False,1,0,320,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0102.zip,8,8,False,6.4839,6.402,False,1,0,258,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0103.zip,8,8,False,6.511,6.4044,False,1,0,264,1,0,0.0,0.0,True,False,False
hard_negative_extra_field_noise_0104.zip,8,8,False,6.2451,6.0852,False,1,0,255,1,0,0.0,0.0,True,False,False
